# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 216 11/23/2011 Service Pack 1 SJ Web Edition
# File: C:\Users\pmkenned\Documents\18-545\Project\t32\t_minus_32_days.csv
# Generated on: Mon Nov 05 17:54:46 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
sram_addr[0],Output,PIN_AB7,3,B3_N1,,,,,
sram_ce_b,Output,PIN_AF8,3,B3_N1,,,,,
sram_io[15],Bidir,PIN_AG3,3,B3_N2,,,,,
sram_io[14],Bidir,PIN_AF3,3,B3_N2,,,,,
sram_io[13],Bidir,PIN_AE4,3,B3_N2,,,,,
sram_io[12],Bidir,PIN_AE3,2,B2_N2,,,,,
sram_io[11],Bidir,PIN_AE1,2,B2_N1,,,,,
sram_io[10],Bidir,PIN_AE2,2,B2_N1,,,,,
sram_io[9],Bidir,PIN_AD2,2,B2_N1,,,,,
sram_io[8],Bidir,PIN_AD1,2,B2_N1,,,,,
sram_io[7],Bidir,PIN_AF7,3,B3_N1,,,,,
sram_io[6],Bidir,PIN_AH6,3,B3_N2,,,,,
sram_io[5],Bidir,PIN_AG6,3,B3_N2,,,,,
sram_io[4],Bidir,PIN_AF6,3,B3_N2,,,,,
sram_io[3],Bidir,PIN_AH4,3,B3_N2,,,,,
sram_io[2],Bidir,PIN_AG4,3,B3_N2,,,,,
sram_io[1],Bidir,PIN_AF4,3,B3_N2,,,,,
sram_io[0],Bidir,PIN_AH3,3,B3_N2,,,,,
sram_lb_b,Output,PIN_AD4,3,B3_N2,,,,,
sram_oe_b,Output,PIN_AD5,3,B3_N2,,,,,
sram_ub_b,Output,PIN_AC4,2,B2_N2,,,,,
sram_we_b,Output,PIN_AE8,3,B3_N1,,,,,
switches[17],Input,,,,,,,,
switches[16],Input,,,,,,,,
switches[15],Input,,,,,,,,
switches[14],Input,,,,,,,,
switches[13],Input,,,,,,,,
switches[12],Input,,,,,,,,
switches[11],Input,,,,,,,,
switches[10],Input,,,,,,,,
switches[9],Input,,,,,,,,
switches[8],Input,,,,,,,,
switches[7],Input,,,,,,,,
switches[6],Input,,,,,,,,
switches[5],Input,,,,,,,,
switches[4],Input,,,,,,,,
switches[3],Input,,,,,,,,
switches[2],Input,,,,,,,,
switches[1],Input,,,,,,,,
switches[0],Input,PIN_AB28,5,B5_N1,,,,,
tx,Output,PIN_G9,8,B8_N2,,,,,
