# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.0 Build 178 05/31/2012 SJ Full Version
# File: C:\Users\rmacdona\Desktop\trtr.csv
# Generated on: Fri Oct 26 18:00:26 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
VGA_blank,Output,PIN_F11,8,B8_N1,PIN_F11,,,,,
VGA_clk,Output,PIN_A12,8,B8_N0,PIN_A12,,,,,
VS,Output,PIN_C13,8,B8_N0,PIN_C13,,,,,
altera_reserved_tck,Input,,,,PIN_P5,,,,,
altera_reserved_tdi,Input,,,,PIN_P7,,,,,
altera_reserved_tdo,Output,,,,PIN_P6,,,,,
altera_reserved_tms,Input,,,,PIN_P8,,,,,
btns[3],Input,PIN_R24,5,B5_N0,PIN_R24,,,,,
btns[2],Input,,,,PIN_C24,,,,,
btns[1],Input,PIN_M21,6,B6_N1,PIN_M21,,,,,
btns[0],Input,PIN_M23,6,B6_N2,PIN_M23,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,,,,,
rts,Output,,,,PIN_D18,,,,,
rx_pin,Input,PIN_G12,8,B8_N1,PIN_G12,,,,,
sram_addr[19],Output,PIN_T8,2,B2_N1,PIN_T8,,,,,
sram_addr[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,,,,,
sram_addr[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,,,,,
sram_addr[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,,,,,
sram_addr[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,,,,,
sram_addr[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,,,,,
sram_addr[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,,,,,
sram_addr[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,,,,,
sram_addr[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,,,,,
sram_addr[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,,,,,
sram_addr[9],Output,PIN_T7,2,B2_N0,PIN_T7,,,,,
sram_addr[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,,,,,
sram_addr[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,,,,,
sram_addr[6],Output,PIN_AB5,2,B2_N2,PIN_AB5,,,,,
sram_addr[5],Output,PIN_AE6,3,B3_N2,PIN_AE6,,,,,
sram_addr[4],Output,PIN_AB6,2,B2_N2,PIN_AB6,,,,,
sram_addr[3],Output,PIN_AC7,3,B3_N2,PIN_AC7,,,,,
sram_addr[2],Output,PIN_AE7,3,B3_N1,PIN_AE7,,,,,
sram_addr[1],Output,PIN_AD7,3,B3_N2,PIN_AD7,,,,,
sram_addr[0],Output,PIN_AB7,3,B3_N1,PIN_AB7,,,,,
sram_ce_b,Output,PIN_AF8,3,B3_N1,PIN_AF8,,,,,
sram_io[15],Bidir,PIN_AG3,3,B3_N2,PIN_AG3,,,,,
sram_io[14],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,,,,,
sram_io[13],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,,,,,
sram_io[12],Bidir,PIN_AE3,2,B2_N2,PIN_AE3,,,,,
sram_io[11],Bidir,PIN_AE1,2,B2_N1,PIN_AE1,,,,,
sram_io[10],Bidir,PIN_AE2,2,B2_N1,PIN_AE2,,,,,
sram_io[9],Bidir,PIN_AD2,2,B2_N1,PIN_AD2,,,,,
sram_io[8],Bidir,PIN_AD1,2,B2_N1,PIN_AD1,,,,,
sram_io[7],Bidir,PIN_AF7,3,B3_N1,PIN_AF7,,,,,
sram_io[6],Bidir,PIN_AH6,3,B3_N2,PIN_AH6,,,,,
sram_io[5],Bidir,PIN_AG6,3,B3_N2,PIN_AG6,,,,,
sram_io[4],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,,,,,
sram_io[3],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,,,,,
sram_io[2],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,,,,,
sram_io[1],Bidir,PIN_AF4,3,B3_N2,PIN_AF4,,,,,
sram_io[0],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,,,,,
sram_lb_b,Output,PIN_AD4,3,B3_N2,PIN_AD4,,,,,
sram_oe_b,Output,PIN_AD5,3,B3_N2,PIN_AD5,,,,,
sram_ub_b,Output,PIN_AC4,2,B2_N2,PIN_AC4,,,,,
sram_we_b,Output,PIN_AE8,3,B3_N1,PIN_AE8,,,,,
switches[17],Input,,,,PIN_D15,,,,,
switches[16],Input,,,,PIN_B17,,,,,
switches[15],Input,,,,PIN_M27,,,,,
switches[14],Input,,,,PIN_P21,,,,,
switches[13],Input,,,,PIN_F27,,,,,
switches[12],Input,,,,PIN_AA12,,,,,
switches[11],Input,,,,PIN_A21,,,,,
switches[10],Input,,,,PIN_E5,,,,,
switches[9],Input,,,,PIN_AF21,,,,,
switches[8],Input,,,,PIN_M8,,,,,
switches[7],Input,,,,PIN_B3,,,,,
switches[6],Input,,,,PIN_D6,,,,,
switches[5],Input,,,,PIN_L22,,,,,
switches[4],Input,,,,PIN_C22,,,,,
switches[3],Input,,,,PIN_AF15,,,,,
switches[2],Input,,,,PIN_B14,,,,,
switches[1],Input,,,,PIN_A14,,,,,
switches[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,,,,,
tx,Output,PIN_G9,8,B8_N2,PIN_G9,,,,,
